Title,Author,Rating
"The Great Hunt (The Wheel of Time, #2)",Robert Jordan,"4.27 avg rating — 341,212 ratings"
The Lost Letters of Aisling,Cynthia Ellingsen,"4.32 avg rating — 22,221 ratings"
Born a Crime: Stories From a South African Childhood,Trevor Noah,"4.49 avg rating — 765,455 ratings"
"Extras (Uglies, #4)",Scott Westerfeld,"3.60 avg rating — 125,304 ratings"
The Illustrated Man,Ray Bradbury,"4.13 avg rating — 104,334 ratings"
The Children of Húrin,J.R.R. Tolkien,"4.05 avg rating — 89,818 ratings"
"Hollow City (Miss Peregrine's Peculiar Children, #2)",Ransom Riggs,"4.07 avg rating — 248,142 ratings"
"Beautiful Darkness (Caster Chronicles, #2)",Kami Garcia,"3.83 avg rating — 140,498 ratings"
"Under the Never Sky (Under the Never Sky, #1)",Veronica Rossi,"3.99 avg rating — 115,047 ratings"
What Is the What,Dave Eggers,"4.14 avg rating — 86,168 ratings"
"Halo (Halo, #1)",Alexandra Adornetto,"3.67 avg rating — 70,447 ratings"
Haunted,Chuck Palahniuk,"3.59 avg rating — 108,957 ratings"
"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,"3.89 avg rating — 609,295 ratings"
The Secret History,Donna Tartt,"4.16 avg rating — 918,177 ratings"
"Heartstopper: Volume Four (Heartstopper, #4)",Alice Oseman,"4.58 avg rating — 425,556 ratings"
"The Shadow Rising (The Wheel of Time, #4)",Robert Jordan,"4.28 avg rating — 250,252 ratings"
"A Thousand Boy Kisses (A Thousand Boy Kisses, #1)",Tillie Cole,"4.05 avg rating — 416,063 ratings"
Think and Grow Rich,Napoleon Hill,"4.17 avg rating — 363,481 ratings"
"The Final Gambit (The Inheritance Games, #3)",Jennifer Lynn Barnes,"4.11 avg rating — 407,104 ratings"
"A MAN WHO SEEMED REAL: a story of love, lies, fear and kindness",Elizabeth Tebby Germaine,"4.42 avg rating — 1,589 ratings"
"Ninth House (Alex Stern, #1)",Leigh Bardugo,"4.01 avg rating — 371,559 ratings"
Loveless,Alice Oseman,"4.18 avg rating — 115,020 ratings"
"Old Man's War (Old Man's War, #1)",John Scalzi,"4.23 avg rating — 213,043 ratings"
Livesuit (The Captive’s War #1.5),James S.A. Corey,"4.33 avg rating — 7,013 ratings"
"The Forever War (The Forever War, #1)",Joe Haldeman,"4.14 avg rating — 175,344 ratings"
"My Brilliant Friend (Neapolitan Novels, #1)",Elena Ferrante,"4.05 avg rating — 418,493 ratings"
The Artifact,David Collins,"4.27 avg rating — 2,457 ratings"
The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,"4.22 avg rating — 142,655 ratings"
"If Tomorrow Comes (Tracy Whitney, #1)",Sidney Sheldon,"4.07 avg rating — 69,511 ratings"
"Max (Maximum Ride, #5)",James  Patterson,"4.05 avg rating — 76,049 ratings"
Making Faces,Amy Harmon,"4.30 avg rating — 79,028 ratings"
Magenta,John Payton Foden,"4.26 avg rating — 5,128 ratings"
Just Kids,Patti Smith,"4.21 avg rating — 324,515 ratings"
"River God (Ancient Egypt, #1)",Wilbur Smith,"4.22 avg rating — 42,589 ratings"
The Art of Happiness,Dalai Lama XIV,"4.17 avg rating — 122,030 ratings"
Darkness at Noon,Arthur Koestler,"4.12 avg rating — 32,528 ratings"
Boy's Life,Robert McCammon,"4.40 avg rating — 38,751 ratings"
"A Witch's Guide to Fake Dating a Demon (Glimmer Falls, #1)",Sarah  Hawley,"3.63 avg rating — 46,330 ratings"
"Don't Judge a Girl by Her Cover (Gallagher Girls, #3)",Ally Carter,"4.20 avg rating — 73,811 ratings"
"The Evening and the Morning (Kingsbridge, #0)",Ken Follett,"4.39 avg rating — 125,646 ratings"
"Monsters of Men (Chaos Walking, #3)",Patrick Ness,"4.22 avg rating — 89,066 ratings"
"Days of Blood & Starlight (Daughter of Smoke & Bone, #2)",Laini Taylor,"4.14 avg rating — 168,794 ratings"
"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"4.30 avg rating — 308,350 ratings"
"Desert Outcast (Sovereign, #0.5)",Juddy Anderson C. Punzalan,4.64 avg rating — 316 ratings
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,"3.73 avg rating — 22,499 ratings"
"Persepolis. The story of a childhood (Persepolis, #1)",Marjane Satrapi,"4.27 avg rating — 222,102 ratings"
"Siege and Storm (The Shadow and Bone Trilogy, #2)",Leigh Bardugo,"3.81 avg rating — 660,068 ratings"
An American Tragedy,Theodore Dreiser,"3.97 avg rating — 38,024 ratings"
The Patient's Secret,Loreth Anne White,"4.26 avg rating — 56,486 ratings"
"Cheaper by the Dozen (Cheaper by the Dozen, #1)",Frank B. Gilbreth Jr.,"really liked it 4.00 avg rating — 44,067 ratings"
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"4.08 avg rating — 461,237 ratings"
Motive Black: A novel (Motive Black Series Book 1),Adam Scott Huerta,"4.34 avg rating — 1,289 ratings"
"Divine Rivals (Letters of Enchantment, #1)",Rebecca   Ross,"4.16 avg rating — 640,745 ratings"
Creepy Carrots!,Aaron Reynolds,"4.22 avg rating — 18,050 ratings"
"The Warded Man (The Demon Cycle, #1)",Peter V. Brett,"4.25 avg rating — 128,616 ratings"
"The Fury / Dark Reunion (The Vampire Diaries, #3-4)",L.J. Smith,"3.72 avg rating — 62,331 ratings"
"Ink Exchange (Wicked Lovely, #2)",Melissa Marr,"3.70 avg rating — 63,631 ratings"
The Thief Lord,Cornelia Funke,"3.99 avg rating — 100,788 ratings"
"The Book of Lost Things (The Book of Lost Things, #1)",John Connolly,"3.96 avg rating — 83,789 ratings"
From Manchester to the Arctic,Sheena  Billett,"4.30 avg rating — 6,107 ratings"
The Epic of Gilgamesh,Anonymous,"3.74 avg rating — 112,053 ratings"
"Iron Kissed (Mercy Thompson, #3)",Patricia Briggs,"4.34 avg rating — 128,896 ratings"
The Diving Bell and the Butterfly: A Memoir of Life in Death,Jean-Dominique Bauby,"3.98 avg rating — 75,513 ratings"
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"4.40 avg rating — 3,707,493 ratings"
Little Blue Truck,Alice Schertle,"4.51 avg rating — 19,661 ratings"
"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,"3.89 avg rating — 601,313 ratings"
"The Sword of Shannara (The Original Shannara Trilogy, #1)",Terry Brooks,"3.77 avg rating — 99,733 ratings"
The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,"4.29 avg rating — 77,456 ratings"
"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",Stephen E. Ambrose,"4.44 avg rating — 134,676 ratings"
"Wolf Hall (Thomas Cromwell, #1)",Hilary Mantel,"3.91 avg rating — 224,655 ratings"
Replay,Ken Grimwood,"4.15 avg rating — 42,309 ratings"
"The Waste Lands (The Dark Tower, #3)",Stephen        King,"4.25 avg rating — 237,047 ratings"
Everything I Never Told You,Celeste Ng,"3.84 avg rating — 590,776 ratings"
Grace (The Shackleford Sisters #1),Beverley Watts,"3.83 avg rating — 15,661 ratings"
After Dark,Haruki Murakami,"3.74 avg rating — 179,659 ratings"
Little Owl's Night,Divya Srinivasan,"4.06 avg rating — 4,371 ratings"
Killing Floor (Jack Reacher #1),Lee Child,"4.08 avg rating — 339,730 ratings"
"Columbus Day (Expeditionary Force, #1)",Craig Alanson,"4.26 avg rating — 30,269 ratings"
Mind's Eye,Douglas E. Richards,"4.07 avg rating — 12,166 ratings"
"The Tower of Nero (The Trials of Apollo, #5)",Rick Riordan,"4.48 avg rating — 79,751 ratings"
Imajica,Clive Barker,"4.17 avg rating — 23,890 ratings"
"Mickey7 (Mickey7, #1)",Edward Ashton,"3.78 avg rating — 36,841 ratings"
"House of Sky and Breath (Crescent City, #2)",Sarah J. Maas,"4.44 avg rating — 688,785 ratings"
The Raven,Edgar Allan Poe,"4.29 avg rating — 160,893 ratings"
"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"3.67 avg rating — 592,374 ratings"
Fathers and Sons,Ivan Turgenev,"really liked it 4.00 avg rating — 96,613 ratings"
Not Till We Are Lost (Bobiverse #5),Dennis E. Taylor,"4.31 avg rating — 11,727 ratings"
"Blood Orange (The Dracula Duet, #1)",Karina Halle,"3.80 avg rating — 24,015 ratings"
Flipped,Wendelin Van Draanen,"3.99 avg rating — 123,054 ratings"
Aesop’s Fables,Aesop,"4.05 avg rating — 128,078 ratings"
People of the Book,Geraldine Brooks,"4.04 avg rating — 152,419 ratings"
"Susan, You're The Chosen One (Welcome To Midlife Magic, #1)",Lauretta Hignett,"4.31 avg rating — 2,837 ratings"
"The Gathering Storm (The Wheel of Time, #12)",Robert Jordan,"4.43 avg rating — 170,857 ratings"
"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,"4.62 avg rating — 1,186,592 ratings"
Quantum Energetics and Spirituality Volume 1: Aligning with Universal Consciousness,Kenneth Schmitt,"4.38 avg rating — 1,546 ratings"
"The New York Trilogy (New York Trilogy, #1-3)",Paul Auster,"3.87 avg rating — 83,032 ratings"
Long Walk to Freedom,Nelson Mandela,"4.36 avg rating — 91,408 ratings"
Freedom,Jonathan Franzen,"3.79 avg rating — 172,532 ratings"
"The Empress: (The Emperor, The Son and The Thief, #4)",Robert         Reid,"4.41 avg rating — 1,226 ratings"
"The Surgeon (Rizzoli & Isles, #1)",Tess Gerritsen,"4.10 avg rating — 170,936 ratings"
Wintergirls,Laurie Halse Anderson,"3.96 avg rating — 124,219 ratings"
"The Rosie Project (Don Tillman, #1)",Graeme Simsion,"4.01 avg rating — 579,505 ratings"
"Ruin and Rising (The Shadow and Bone Trilogy, #3)",Leigh Bardugo,"3.98 avg rating — 569,557 ratings"
An Accidental Goddess,Linnea Sinclair,"4.03 avg rating — 3,938 ratings"
Bird by Bird,Anne Lamott,"4.24 avg rating — 107,353 ratings"
The Diamond of London,Andrea Penrose,"3.75 avg rating — 1,809 ratings"
The Day the Crayons Quit,Drew Daywalt,"4.42 avg rating — 58,158 ratings"
"Risen (The Boy in the Iron Box, #4)",Guillermo del Toro,"4.03 avg rating — 3,819 ratings"
"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,"4.12 avg rating — 177,281 ratings"
Half of a Yellow Sun,Chimamanda Ngozi Adichie,"4.34 avg rating — 173,273 ratings"
Hello Little Girl (Hart's Ridge #10),Kay Bratt,"4.58 avg rating — 3,710 ratings"
"The Blue Sword (Damar, #1)",Robin McKinley,"4.21 avg rating — 62,210 ratings"
A Good Man Is Hard to Find and Other Stories,Flannery O'Connor,"4.17 avg rating — 48,114 ratings"
"Life As We Knew It (Last Survivors, #1)",Susan Beth Pfeffer,"3.89 avg rating — 131,809 ratings"
Dead Souls,Nikolai Gogol,"3.98 avg rating — 91,837 ratings"
"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,"4.27 avg rating — 210,944 ratings"
"Pushing the Limits (Pushing the Limits, #1)",Katie McGarry,"4.05 avg rating — 122,533 ratings"
The Winter of Our Discontent,John Steinbeck,"4.01 avg rating — 51,471 ratings"
The Eyes of the Dragon,Stephen        King,"3.95 avg rating — 138,666 ratings"
Pedro Páramo,Juan Rulfo,"4.06 avg rating — 89,159 ratings"
The Storyteller,Jodi Picoult,"4.30 avg rating — 257,854 ratings"
"The Iron Knight (The Iron Fey, #4)",Julie Kagawa,"4.18 avg rating — 87,186 ratings"
"Rapture (Fallen, #4)",Lauren Kate,"3.99 avg rating — 123,617 ratings"
Labyrinths: Selected Stories & Other Writings,Jorge Luis Borges,"4.44 avg rating — 32,998 ratings"
China Blues,Ki Longfellow,"4.15 avg rating — 1,619 ratings"
Paradox Effect: Time Travel and Purified DNA Merge to Halt the Collapse of Human Existence,Gabriel F.W. Koch,"4.33 avg rating — 10,205 ratings"
"Engines of Oblivion (The Memory War, #2)",Karen Osborne,4.02 avg rating — 967 ratings
Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,Flora Rheta Schreiber,"3.99 avg rating — 90,245 ratings"
No. 23 Burlington Square,Jenni Keer,"4.19 avg rating — 11,087 ratings"
Survival in Auschwitz,Primo Levi,"4.34 avg rating — 82,219 ratings"
The Dharma Bums,Jack Kerouac,"3.93 avg rating — 99,004 ratings"
The Scorpio Races,Maggie Stiefvater,"4.10 avg rating — 112,317 ratings"
Can You Keep a Secret?,Sophie Kinsella,"3.82 avg rating — 465,280 ratings"
Three Comrades,Erich Maria Remarque,"4.48 avg rating — 37,466 ratings"
"The Dead Girls' Dance (The Morganville Vampires, #2)",Rachel Caine,"4.04 avg rating — 59,820 ratings"
"Among the Hidden (Shadow Children, #1)",Margaret Peterson Haddix,"3.99 avg rating — 129,140 ratings"
The Moonstone,Wilkie Collins,"3.91 avg rating — 96,611 ratings"
"Tiger's Voyage (The Tiger Saga, #3)",Colleen Houck,"4.27 avg rating — 37,756 ratings"
"The Sign of Four (Sherlock Holmes, #2)",Arthur Conan Doyle,"3.89 avg rating — 169,719 ratings"
"Polaris Rising (Consortium Rebellion, #1)",Jessie Mihalik,"3.92 avg rating — 14,435 ratings"
Starter Villain,John Scalzi,"4.13 avg rating — 78,413 ratings"
Service Model,Adrian Tchaikovsky,"4.04 avg rating — 11,285 ratings"
White Nights,Fyodor Dostoevsky,"4.07 avg rating — 274,723 ratings"
The Dot,Peter H. Reynolds,"4.26 avg rating — 34,294 ratings"
"Dark Horse (Class 5, #1)",Michelle Diener,"4.09 avg rating — 8,823 ratings"
"Pawn of Prophecy (The Belgariad, #1)",David Eddings,"4.16 avg rating — 109,475 ratings"
"Vow of Thieves (Dance of Thieves, #2)",Mary E. Pearson,"4.31 avg rating — 101,897 ratings"
"A Voice in the Wind (Mark of the Lion, #1)",Francine  Rivers,"4.57 avg rating — 102,601 ratings"
"The Ask and the Answer (Chaos Walking, #2)",Patrick Ness,"4.18 avg rating — 100,067 ratings"
"The Opportunist (Love Me with Lies, #1)",Tarryn Fisher,"4.18 avg rating — 53,780 ratings"
Narcissus and Goldmund,Hermann Hesse,"4.22 avg rating — 68,687 ratings"
Pope Joan,Donna Woolfolk Cross,"4.09 avg rating — 73,402 ratings"
"Executive Orders (Jack Ryan, #8)",Tom Clancy,"4.12 avg rating — 52,644 ratings"
The Book of Negroes,Lawrence Hill,"4.47 avg rating — 89,654 ratings"
Down and Out in Paris and London,George Orwell,"4.09 avg rating — 95,876 ratings"
Centennial,James A. Michener,"4.26 avg rating — 44,295 ratings"
The Prime of Miss Jean Brodie,Muriel Spark,"3.70 avg rating — 58,593 ratings"
"Strange the Dreamer (Strange the Dreamer, #1)",Laini Taylor,"4.28 avg rating — 130,529 ratings"
"Thinking, Fast and Slow",Daniel Kahneman,"4.17 avg rating — 553,973 ratings"
"AI Doctor: The Rise of Artificial Intelligence in Healthcare - A Guide for Users, Buyers, Builders, and Investors",Ronald M. Razmi,"4.27 avg rating — 7,379 ratings"
As You Like It,William Shakespeare,"3.81 avg rating — 86,763 ratings"
My Year of Rest and Relaxation,Ottessa Moshfegh,"3.61 avg rating — 504,742 ratings"
"Six Crimson Cranes (Six Crimson Cranes, #1)",Elizabeth Lim,"4.19 avg rating — 95,124 ratings"
"Need (Need, #1)",Carrie Jones,"3.72 avg rating — 64,179 ratings"
"All Things Bright and Beautiful (All Creatures Great and Small, #3-4)",James Herriot,"4.35 avg rating — 81,729 ratings"
"The Most Magnificent Thing (Most Magnificent, 1)",Ashley Spires,"4.29 avg rating — 8,513 ratings"
"Golden Son (Red Rising Saga, #2)",Pierce Brown,"4.48 avg rating — 370,549 ratings"
"The Wee Free Men (Discworld, #30; Tiffany Aching, #1)",Terry Pratchett,"4.29 avg rating — 117,236 ratings"
"The Heir (The Selection, #4)",Kiera Cass,"3.63 avg rating — 387,086 ratings"
The Starless Sea,Erin Morgenstern,"3.85 avg rating — 223,826 ratings"
"Children of Time (Children of Time, #1)",Adrian Tchaikovsky,"4.30 avg rating — 153,846 ratings"
Uprooted,Naomi Novik,"4.03 avg rating — 253,504 ratings"
Contact,Carl Sagan,"4.15 avg rating — 148,877 ratings"
"Warm Bodies (Warm Bodies, #1)",Isaac Marion,"3.91 avg rating — 108,356 ratings"
"Impulse (Impulse, #1)",Ellen Hopkins,"4.26 avg rating — 81,390 ratings"
Lullaby,Chuck Palahniuk,"3.74 avg rating — 102,038 ratings"
"Gabriel's Rapture (Gabriel's Inferno, #2)",Sylvain Reynard,"4.20 avg rating — 115,351 ratings"
Americanah,Chimamanda Ngozi Adichie,"4.32 avg rating — 395,985 ratings"
The Invisible Boy,Trudy Ludwig,"4.43 avg rating — 7,356 ratings"
The Light Between Oceans,M.L. Stedman,"4.04 avg rating — 470,564 ratings"
The Traitor's Emblem,Juan Gómez-Jurado,"3.86 avg rating — 4,081 ratings"
Silent Spring,Rachel Carson,"4.05 avg rating — 52,362 ratings"
Unparalleled,D.S.   Smith,"4.12 avg rating — 4,837 ratings"
U.S. Constitution (Saddlewire) (Books of American Wisdom),Founding Fathers,"4.52 avg rating — 27,023 ratings"
"Twisted Games (Twisted, #2)",Ana Huang,"4.09 avg rating — 924,340 ratings"
Love and Other Words,Christina Lauren,"4.23 avg rating — 735,140 ratings"
Gallant,Victoria E. Schwab,"3.71 avg rating — 134,401 ratings"
"Real (Real, #1)",Katy Evans,"4.12 avg rating — 113,968 ratings"
The Echo of Old Books,Barbara  Davis,"4.27 avg rating — 112,059 ratings"
Radio Silence,Alice Oseman,"4.18 avg rating — 123,590 ratings"
The Casual Vacancy,J.K. Rowling,"3.31 avg rating — 334,037 ratings"
The Sixth Borough,Alan    Bradley,"4.43 avg rating — 1,096 ratings"
Last Night at the Telegraph Club,Malinda Lo,"4.21 avg rating — 105,601 ratings"
Power And Prediction: The Disruptive Economics of Artificial Intelligence,Ajay Agrawal,"4.23 avg rating — 7,128 ratings"
"Kissed by an Angel/The Power of Love/Soulmates (Kissed by an Angel, #1-3)",Elizabeth Chandler,"4.08 avg rating — 27,228 ratings"
"Cloudy with a Chance of Meatballs (Cloudy with a Chance of Meatballs, #1)",Judi Barrett,"4.18 avg rating — 141,168 ratings"
"Burned (Burned, #1)",Ellen Hopkins,"4.25 avg rating — 69,762 ratings"
The Awakening: Fate in Motion,Suzanne Boisvert,"4.23 avg rating — 1,108 ratings"
Steve Jobs,Walter Isaacson,"4.15 avg rating — 1,318,010 ratings"
The Painted Bird,Jerzy Kosiński,"3.91 avg rating — 27,645 ratings"
Into the Darkest Corner,Elizabeth Haynes,"4.07 avg rating — 70,931 ratings"
The Mayor of Casterbridge,Thomas Hardy,"3.86 avg rating — 64,634 ratings"
"North and South (North and South, #1)",John Jakes,"4.20 avg rating — 62,023 ratings"
"Kiss the Girls (Alex Cross, #2)",James  Patterson,"really liked it 4.00 avg rating — 348,003 ratings"
"A Storm of Swords 2: Blood and Gold (A Song of Ice and Fire, #3, Part 2 of 2)",George R.R. Martin,"4.55 avg rating — 101,831 ratings"
"Only the Good Spy Young (Gallagher Girls, #4)",Ally Carter,"4.29 avg rating — 68,779 ratings"
The Song of Achilles,Madeline Miller,"4.31 avg rating — 1,799,189 ratings"
"A Curse for True Love (Once Upon a Broken Heart, #3)",Stephanie Garber,"4.15 avg rating — 319,900 ratings"
The Third Policeman,Flann O'Brien,"3.97 avg rating — 21,896 ratings"
Found,Erin Kinsley,"4.11 avg rating — 25,351 ratings"
The Consequence of Anna,Kate Birkin,"4.14 avg rating — 10,993 ratings"
"Royal Assassin (Farseer Trilogy, #2)",Robin Hobb,"4.28 avg rating — 222,665 ratings"
"The Manufactured Identity (Manufactured Identity, #1)",Heath Sommer,3.55 avg rating — 439 ratings
"Hunt the Stars (Starlight's Shadow, #1)",Jessie Mihalik,"4.02 avg rating — 11,092 ratings"
Grendel,John Gardner,"3.69 avg rating — 41,269 ratings"
"The Screaming Staircase (Lockwood & Co., #1)",Jonathan Stroud,"4.25 avg rating — 71,360 ratings"
Daughter of Fortune,Isabel Allende,"3.94 avg rating — 136,870 ratings"
"Entwined with You (Crossfire, #3)",Sylvia Day,"4.18 avg rating — 217,901 ratings"
Les Liaisons dangereuses,Pierre Choderlos de Laclos,"4.05 avg rating — 56,553 ratings"
"Tomorrow, When the War Began (Tomorrow, #1)",John Marsden,"4.04 avg rating — 59,028 ratings"
Midwives,Chris Bohjalian,"really liked it 4.00 avg rating — 161,762 ratings"
"Crossed (Matched, #2)",Ally Condie,"3.52 avg rating — 254,909 ratings"
"The Sum of All Fears (Jack Ryan, #6)",Tom Clancy,"4.08 avg rating — 65,232 ratings"
American Pastoral,Philip Roth,"3.95 avg rating — 85,066 ratings"
"Four: A Divergent Story Collection (Divergent, #0.1-0.4)",Veronica Roth,"3.94 avg rating — 246,709 ratings"
I Am Legend,Richard Matheson,"4.05 avg rating — 145,170 ratings"
Even Cowgirls Get the Blues,Tom Robbins,"3.78 avg rating — 56,252 ratings"
"Diplomats & Admirals: From Failed Negotiations and Tragic Misjudgments to Powerful Leaders and Heroic Deeds, the Untold Story of the Pacific War from Pearl Harbor to Midway",Dale A. Jenkins,"4.30 avg rating — 5,571 ratings"
"The Asset (Lance Spector, #1)",Saul Herzog,"4.29 avg rating — 11,791 ratings"
Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,"4.17 avg rating — 182,882 ratings"
The Brothers K,David James Duncan,"4.39 avg rating — 16,513 ratings"
"The Hidden Oracle (The Trials of Apollo, #1)",Rick Riordan,"4.14 avg rating — 219,115 ratings"
"The Wrath and the Dawn (The Wrath and the Dawn, #1)",Renée Ahdieh,"4.05 avg rating — 183,325 ratings"
A Distant Mirror: The Calamitous 14th Century,Barbara W. Tuchman,"4.06 avg rating — 42,773 ratings"
"The Naturals (The Naturals, #1)",Jennifer Lynn Barnes,"4.21 avg rating — 261,807 ratings"
"Take Command: Find Your Inner Strength, Build Enduring Relationships, and Live the Life You Want (Dale Carnegie Books)",Joe   Hart,"4.26 avg rating — 7,171 ratings"
The Heart Is a Lonely Hunter,Carson McCullers,"3.99 avg rating — 115,629 ratings"
"The Foxhole Court (All for the Game, #1)",Nora Sakavic,"4.02 avg rating — 96,850 ratings"
"The Young Elites (The Young Elites, #1)",Marie Lu,"3.86 avg rating — 140,761 ratings"
"The Reptile Room (A Series of Unfortunate Events, #2)",Lemony Snicket,"4.02 avg rating — 238,181 ratings"
"Vampire Academy Collection (Vampire Academy, #1-3)",Richelle Mead,"4.61 avg rating — 33,999 ratings"
"Firefly Lane (Firefly Lane, #1)",Kristin Hannah,"4.19 avg rating — 445,448 ratings"
"Dragonflight (Dragonriders of Pern, #1)",Anne McCaffrey,"4.08 avg rating — 141,278 ratings"
"Wallbanger (Cocktail, #1)",Alice Clayton,"3.98 avg rating — 210,797 ratings"
The Keeper of Happy Endings,Barbara  Davis,"4.46 avg rating — 118,050 ratings"
"If He Had Been With Me (If He Had Been with Me, #1)",Laura Nowlin,"3.79 avg rating — 513,534 ratings"
The Magicians' Guild (The Black Magician Trilogy #1),Trudi Canavan,"3.95 avg rating — 88,473 ratings"
"Shadow of Night (All Souls, #2)",Deborah Harkness,"4.08 avg rating — 261,733 ratings"
"Gathering Blue (The Giver, #2)",Lois Lowry,"3.82 avg rating — 202,831 ratings"
"The Crystal Cave (Arthurian Saga, #1)",Mary  Stewart,"4.13 avg rating — 47,601 ratings"
The Beach,Alex Garland,"3.98 avg rating — 93,297 ratings"
"Complicate Me (The Good Ol' Boys, #1)",M.  Robinson,"4.01 avg rating — 10,869 ratings"
"Compulsory (The Murderbot Diaries, #0.5)",Martha Wells,"4.32 avg rating — 10,986 ratings"
The Pandarus File,Kyle Keyes,"4.31 avg rating — 6,608 ratings"
The Power and the Glory,Graham Greene,"3.98 avg rating — 41,976 ratings"
"Off the Grid (Joe Pickett, #16)",C.J. Box,"4.30 avg rating — 22,675 ratings"
"Twisted Love (Twisted, #1)",Ana Huang,"3.72 avg rating — 1,395,849 ratings"
The Going To Bed Book,Sandra Boynton,"4.24 avg rating — 30,120 ratings"
"The Eight (The Eight, #1)",Katherine Neville,"3.93 avg rating — 44,967 ratings"
Dear Barack: The Extraordinary Partnership of Barack Obama and Angela Merkel,Claudia   Clark,"4.28 avg rating — 5,923 ratings"
"A Suitable Boy (A Bridge of Leaves, #1)",Vikram Seth,"4.12 avg rating — 49,253 ratings"
"Ahab's Wife, or The Star-Gazer",Sena Jeter Naslund,"4.03 avg rating — 45,037 ratings"
"Magic Bleeds (Kate Daniels, #4)",Ilona Andrews,"4.43 avg rating — 87,819 ratings"
Honor and Polygamy,Omar Farhad,4.27 avg rating — 166 ratings
Demon Copperhead,Barbara Kingsolver,"4.48 avg rating — 657,663 ratings"
"The Cheat Code (Wisdom Revolution, #3)",Misba,"4.74 avg rating — 4,082 ratings"
The High Lord (The Black Magician Trilogy #3),Trudi Canavan,"4.14 avg rating — 62,288 ratings"
"Destroy Me (Shatter Me, #1.5)",Tahereh Mafi,"3.96 avg rating — 322,887 ratings"
"Daughter of the Moon Goddess (The Celestial Kingdom, #1)",Sue Lynn Tan,"4.08 avg rating — 114,240 ratings"
"A Fire Upon the Deep (Zones of Thought, #1)",Vernor Vinge,"4.14 avg rating — 64,697 ratings"
Antarctica Station,A.G. Riddle,"3.99 avg rating — 12,180 ratings"
Women,Charles Bukowski,"3.80 avg rating — 83,351 ratings"
"Angels' Blood (Guild Hunter, #1)",Nalini Singh,"4.07 avg rating — 96,099 ratings"
The Orphanage by the Lake,Daniel G.  Miller,"3.94 avg rating — 34,413 ratings"
My Big Fat Zombie Goldfish,Mo O'Hara,"3.89 avg rating — 2,684 ratings"
"Eragon, Eldest & Brisingr (Inheritance, #1-3)",Christopher Paolini,"4.27 avg rating — 36,755 ratings"
"The Worst Ship in the Fleet (Dumb Luck and Dead Heroes, #1)",Skyler Ramirez,"4.04 avg rating — 4,852 ratings"
"A Wind in the Door (Time Quintet, #2)",Madeleine L'Engle,"3.99 avg rating — 130,285 ratings"
"The Lady of the Tower (The Lydiard Chronicles, #1)",Elizabeth St. John,"4.19 avg rating — 1,882 ratings"
"The Painter's Apprentice (Venetian Artisans, #1)",Laura Morelli,"4.03 avg rating — 1,063 ratings"
Christine,Stephen        King,"3.85 avg rating — 255,727 ratings"
"Night World, No. 3 (Night World, #7-9)",L.J. Smith,"4.20 avg rating — 66,356 ratings"
People We Meet on Vacation,Emily Henry,"3.85 avg rating — 1,422,944 ratings"
Marry Christmas,Linda Phillips,"4.36 avg rating — 1,106 ratings"
"Die for Me (Revenants, #1)",Amy Plum,"3.98 avg rating — 55,837 ratings"
"Postmortem (Kay Scarpetta, #1)",Patricia Daniels Cornwell,"4.03 avg rating — 250,957 ratings"
Beyond Good and Evil,Friedrich Nietzsche,"4.03 avg rating — 107,055 ratings"
"The Kill Order (The Maze Runner, #0.4)",James Dashner,"3.71 avg rating — 250,142 ratings"
Adhaata Asao's Liege,Afroz  Alam,4.58 avg rating — 185 ratings
"The Alaska Job (Case Lee, #12)",Vince Milam,"4.50 avg rating — 1,848 ratings"
"Lost Identity (Remmich/Miller, #1)",Karl Braungart,"4.28 avg rating — 5,981 ratings"
My Dark Vanessa,Kate Elizabeth Russell,"4.10 avg rating — 388,726 ratings"
"Code Name Verity (Code Name Verity, #1)",Elizabeth Wein,"really liked it 4.00 avg rating — 124,670 ratings"
Flowers for Algernon,Daniel Keyes,"4.23 avg rating — 749,283 ratings"
"Lirael (Abhorsen, #2)",Garth Nix,"4.29 avg rating — 122,158 ratings"
"King of Scars (King of Scars, #1)",Leigh Bardugo,"4.15 avg rating — 222,341 ratings"
Yertle the Turtle and Other Stories,Dr. Seuss,"4.15 avg rating — 35,729 ratings"
"The Bear and the Nightingale (The Winternight Trilogy, #1)",Katherine Arden,"4.09 avg rating — 221,441 ratings"
